loan_id,customer_id,loan_type,principal_amount,interest_rate,loan_status
L000588,C001166,Home Improvement,15000,8.93,Current
L000589,C003893,Home Improvement,5000,6.35,Current
L000590,C004126,Personal,30000,9.07,Current
L000591,C004964,Auto,20000,11.85,Delinquent
L000592,C001210,Home Improvement,20000,4.81,Delinquent
L000593,C003754,Personal,2500,17.16,Current
L000594,C001284,Auto,15000,9.32,Current
L000595,C000540,Personal,2500,11.24,Delinquent
L000596,C003151,Auto,2500,17.11,Paid Off
L000597,C002335,Auto,20000,11.9,Current
L000598,C002990,Auto,5000,15.87,Current
L000599,C004936,Home Improvement,15000,4.73,Current
L000600,C003967,Home Improvement,7500,4.52,Current
L000601,C003993,Personal,2500,17.64,Paid Off
L000602,C000855,Auto,7500,16.52,Current
L000603,C003487,Personal,5000,15.08,Current
L000604,C003505,Home Improvement,5000,7.15,Current
L000605,C004038,Personal,5000,11.3,Paid Off
L000606,C002252,Personal,15000,5.2,Paid Off
L000607,C003328,Personal,30000,13.32,Current
L000608,C004858,Auto,7500,9.74,Current
L000609,C004650,Auto,7500,10.78,Current
L000610,C004643,Personal,2500,7.08,Current
L000611,C002178,Auto,10000,5.25,Current
L000612,C002092,Home Improvement,30000,6.27,Current
L000613,C002800,Personal,7500,6.71,Current
L000614,C000396,Home Improvement,15000,17.44,Paid Off
L000615,C002421,Auto,15000,10.74,Current
L000616,C004685,Auto,30000,10.93,Current
L000617,C003933,Home Improvement,30000,5.95,Current
L000618,C002303,Auto,5000,13.38,Current
L000619,C004283,Home Improvement,10000,15.76,Current
L000620,C002073,Personal,2500,10.38,Current
L000621,C003276,Auto,2500,14.09,Current
L000622,C000276,Personal,7500,5.26,Current
L000623,C002193,Home Improvement,15000,13.85,Current
L000624,C002560,Auto,15000,13.31,Paid Off
L000625,C003821,Home Improvement,5000,5.46,Current
L000626,C004286,Auto,30000,4.32,Current
L000627,C004401,Auto,15000,7.59,Current
L000628,C003970,Personal,30000,3.65,Delinquent
L000629,C004201,Personal,15000,4.92,Current
L000630,C002481,Home Improvement,15000,11.56,Current
L000631,C003579,Personal,15000,7.65,Current
L000632,C003342,Personal,10000,6.75,Paid Off
L000633,C004495,Personal,10000,3.9,Current
L000634,C000551,Personal,30000,6.65,Current
L000635,C002636,Auto,5000,6.65,Current
L000636,C004398,Personal,10000,15.43,Current
L000637,C002599,Home Improvement,5000,14.03,Current
L000638,C000669,Home Improvement,10000,6.69,Paid Off
L000639,C003536,Auto,20000,16.67,Current
L000640,C004152,Auto,7500,4.73,Current
L000641,C004752,Auto,7500,6.57,Current
L000642,C000265,Auto,2500,12.68,Current
L000643,C002993,Personal,5000,17.62,Current
L000644,C003415,Home Improvement,30000,17.23,Current
L000645,C002945,Auto,5000,9.19,Current
L000646,C001245,Auto,7500,10.91,Current
L000647,C002346,Home Improvement,2500,6.85,Current
L000648,C001636,Personal,30000,10.02,Current
L000649,C001978,Auto,5000,18.23,Current
L000650,C000446,Auto,7500,14.85,Current
L000651,C002164,Home Improvement,20000,17.45,Paid Off
L000652,C002880,Personal,10000,16.65,Current
L000653,C000601,Auto,5000,9.92,Current
L000654,C001305,Personal,20000,9.53,Current
L000655,C003420,Home Improvement,15000,17.1,Current
L000656,C002500,Auto,2500,14.71,Current
L000657,C003206,Home Improvement,2500,7.51,Current
L000658,C000403,Auto,20000,10.19,Current
L000659,C000579,Personal,10000,17.41,Current
L000660,C000741,Auto,7500,6.88,Paid Off
L000661,C004908,Auto,10000,17.33,Current
L000662,C002910,Personal,2500,17.03,Current
L000663,C002305,Auto,7500,5.2,Current
L000664,C000281,Auto,30000,4.01,Current
L000665,C000719,Personal,20000,5.08,Current
L000666,C000261,Home Improvement,20000,12.64,Current
L000667,C004900,Personal,2500,17.78,Paid Off
L000668,C003115,Home Improvement,7500,7.95,Current
L000669,C002776,Auto,2500,5.38,Current
L000670,C004301,Auto,5000,15.75,Current
L000671,C000074,Auto,10000,10.95,Current
L000672,C002785,Personal,10000,11.52,Paid Off
L000673,C004112,Personal,20000,3.61,Delinquent
L000674,C002288,Home Improvement,20000,17.7,Current
L000675,C004740,Home Improvement,15000,5.79,Current
L000676,C003715,Personal,20000,15.74,Current
L000677,C000883,Auto,20000,8.95,Current
L000678,C004011,Personal,30000,3.81,Delinquent
L000679,C000036,Auto,20000,6.38,Current
L000680,C003989,Auto,10000,12.81,Delinquent
L000681,C004526,Home Improvement,5000,6.14,Current
L000682,C001156,Auto,2500,11.58,Current
L000683,C001758,Auto,7500,17.56,Current
L000684,C001145,Home Improvement,30000,16.33,Current
L000685,C003800,Personal,7500,18.33,Paid Off
L000686,C002512,Auto,2500,5.97,Current
L000687,C000810,Personal,2500,12.61,Current
L000688,C000143,Home Improvement,30000,16.25,Current
L000689,C002200,Home Improvement,30000,16.19,Current
L000690,C001824,Personal,7500,9.66,Current
L000691,C000075,Home Improvement,15000,3.72,Current
L000692,C000577,Home Improvement,15000,12.35,Current
L000693,C003833,Personal,5000,13.17,Current
L000694,C001397,Home Improvement,30000,13.21,Current
L000695,C003261,Personal,15000,10.04,Current
L000696,C004552,Personal,7500,8.65,Current
L000697,C002447,Auto,20000,12.72,Current
L000698,C004140,Auto,20000,12.58,Current
L000699,C002894,Auto,2500,15.94,Paid Off
L000700,C003385,Personal,10000,9.52,Current
L000701,C004852,Auto,2500,12.68,Current
L000702,C003564,Auto,2500,15.2,Current
L000703,C001999,Personal,30000,17.78,Current
L000704,C003419,Home Improvement,2500,7.22,Current
L000705,C000599,Auto,7500,9.89,Current
L000706,C001621,Auto,15000,11.1,Current
L000707,C002405,Personal,5000,13.92,Current
L000708,C004382,Personal,30000,6.7,Current
L000709,C003273,Auto,10000,12.52,Current
L000710,C000963,Personal,10000,10.1,Current
L000711,C000030,Home Improvement,10000,4.93,Current
L000712,C002647,Home Improvement,7500,10.57,Current
L000713,C001306,Personal,2500,9.04,Current
L000714,C004534,Personal,10000,10.46,Current
L000715,C003984,Home Improvement,2500,15.19,Current
L000716,C001805,Home Improvement,20000,8.99,Current
L000717,C003830,Auto,5000,12.26,Current
L000718,C000501,Auto,2500,9.05,Current
L000719,C000625,Home Improvement,30000,15.49,Current
L000720,C002474,Home Improvement,20000,6.14,Current
L000721,C001382,Home Improvement,30000,5.12,Paid Off
L000722,C002141,Auto,10000,17.76,Paid Off
L000723,C004225,Auto,7500,6.72,Paid Off
L000724,C000372,Home Improvement,20000,10.21,Current
L000725,C000101,Auto,15000,4.23,Paid Off
L000726,C004809,Home Improvement,5000,9.87,Current
L000727,C003596,Home Improvement,20000,16.86,Current
L000728,C000911,Personal,15000,6.86,Paid Off
L000729,C002056,Home Improvement,5000,12.75,Current
L000730,C002702,Home Improvement,20000,15.47,Current
L000731,C004235,Auto,2500,4.73,Paid Off
L000732,C001638,Home Improvement,7500,9.52,Current
L000733,C001455,Personal,10000,12.72,Current
L000734,C002027,Home Improvement,30000,16.03,Delinquent
L000735,C003575,Home Improvement,2500,17.43,Current
L000736,C002959,Personal,7500,15.34,Current
L000737,C002825,Personal,30000,12.97,Current
L000738,C003164,Home Improvement,20000,10.51,Paid Off
L000739,C001686,Auto,7500,12.22,Current
L000740,C001349,Auto,10000,11.88,Current
L000741,C003016,Auto,5000,8.72,Current
L000742,C000945,Home Improvement,2500,14.44,Current
L000743,C003673,Personal,15000,9.12,Current
L000744,C001886,Personal,30000,8.18,Paid Off
L000745,C001316,Personal,10000,11.85,Current
L000746,C000316,Auto,20000,10.2,Current
L000747,C004811,Home Improvement,20000,4.48,Current
L000748,C004405,Personal,20000,13.09,Current
L000749,C000008,Auto,30000,3.54,Current
L000750,C003699,Personal,5000,4.39,Paid Off
L000751,C002997,Auto,7500,11.56,Paid Off
L000752,C002744,Home Improvement,2500,15.98,Current
L000753,C000321,Personal,10000,10.54,Paid Off
L000754,C004086,Personal,15000,4.03,Current
L000755,C001870,Auto,10000,9.72,Current
L000756,C001233,Home Improvement,5000,15.75,Current
L000757,C001566,Personal,20000,12.72,Current
L000758,C003214,Auto,20000,3.69,Paid Off
L000759,C004582,Home Improvement,2500,11.08,Current
L000760,C000223,Auto,7500,13.68,Current
L000761,C002100,Home Improvement,7500,9.02,Current
L000762,C001833,Personal,2500,17.51,Current
L000763,C003023,Personal,15000,13.21,Current
L000764,C004573,Auto,20000,7.9,Current
L000765,C004010,Personal,20000,17.31,Current
L000766,C001095,Auto,2500,12.22,Current
L000767,C000264,Auto,7500,5.92,Current
L000768,C004933,Personal,30000,4.96,Paid Off
L000769,C000353,Auto,5000,9.1,Current
L000770,C003167,Auto,15000,12.79,Paid Off
L000771,C004474,Home Improvement,5000,9.17,Current
L000772,C000183,Auto,10000,11.31,Current
L000773,C003218,Home Improvement,2500,6.44,Current
L000774,C003485,Personal,30000,11.46,Current
L000775,C004789,Personal,7500,5.62,Current
L000776,C003067,Personal,15000,18.12,Current
L000777,C001193,Personal,7500,3.86,Paid Off
L000778,C000409,Auto,15000,8.54,Current
L000779,C001878,Home Improvement,30000,5.99,Current
L000780,C002065,Auto,30000,18.49,Current
L000781,C003229,Personal,7500,12.2,Current
L000782,C000013,Auto,15000,12.76,Current
L000783,C003516,Personal,7500,4.55,Paid Off
L000784,C004068,Auto,5000,6.16,Current
L000785,C002097,Auto,30000,9.38,Current
L000786,C004111,Personal,15000,10.7,Current
L000787,C001613,Home Improvement,2500,16.73,Current
L000788,C002767,Personal,7500,9.41,Paid Off
L000789,C004465,Auto,2500,4.46,Current
L000790,C002125,Auto,20000,11.54,Current
L000791,C003698,Auto,2500,10.05,Current
L000792,C004866,Auto,2500,14.67,Current
L000793,C003108,Home Improvement,15000,17.77,Current
L000794,C004515,Auto,10000,15.4,Current
L000795,C003678,Personal,7500,13.49,Current
L000796,C002986,Home Improvement,15000,15.79,Current
L000797,C000614,Home Improvement,20000,4.78,Current
L000798,C004803,Personal,5000,4.62,Paid Off
L000799,C004487,Personal,20000,12.72,Current
L000800,C003514,Home Improvement,2500,6.7,Paid Off
L000801,C002569,Auto,30000,12.9,Current
L000802,C001875,Auto,30000,7.4,Paid Off
L000803,C004625,Home Improvement,5000,3.99,Current
L000804,C000218,Personal,20000,9.27,Current
L000805,C004504,Personal,10000,11.97,Current
L000806,C000778,Home Improvement,10000,14.7,Paid Off
L000807,C001873,Home Improvement,20000,9.67,Current
L000808,C002847,Home Improvement,10000,5.71,Current
L000809,C003269,Personal,10000,10.63,Current
L000810,C001198,Auto,30000,9.86,Current
L000811,C001932,Personal,20000,8.56,Current
L000812,C003363,Personal,10000,5.68,Current
L000813,C001606,Auto,30000,12.66,Paid Off
L000814,C002494,Personal,30000,5.37,Current
L000815,C001355,Personal,5000,14.67,Current
L000816,C004421,Personal,20000,15.26,Current
L000817,C002645,Personal,7500,5.59,Paid Off
L000818,C000020,Auto,7500,10.87,Current
L000819,C002385,Personal,7500,16.82,Current
L000820,C001196,Home Improvement,5000,17.24,Current
L000821,C002559,Personal,15000,6.04,Current
L000822,C003982,Auto,20000,14.17,Current
L000823,C002081,Auto,15000,4.41,Current
L000824,C003909,Auto,30000,17.65,Current
L000825,C002685,Home Improvement,20000,4.79,Current
L000826,C004675,Personal,5000,17.0,Delinquent
L000827,C003368,Personal,30000,12.18,Delinquent
L000828,C004714,Personal,7500,4.93,Current
L000829,C000179,Personal,2500,10.27,Current
L000830,C003230,Home Improvement,7500,18.21,Current
L000831,C000670,Home Improvement,5000,3.82,Current
L000832,C004871,Home Improvement,20000,14.34,Paid Off
L000833,C000532,Home Improvement,10000,13.14,Current
L000834,C004488,Home Improvement,15000,6.47,Current
L000835,C003286,Auto,20000,9.11,Current
L000836,C002429,Auto,2500,8.37,Current
L000837,C004797,Home Improvement,10000,5.42,Current
L000838,C001135,Home Improvement,20000,15.58,Paid Off
L000839,C001068,Auto,5000,8.87,Paid Off
L000840,C004890,Home Improvement,10000,6.85,Current
L000841,C004726,Personal,5000,18.05,Current
L000842,C000351,Auto,30000,15.79,Current
L000843,C001304,Auto,15000,18.17,Delinquent
L000844,C004399,Personal,2500,14.37,Current
L000845,C003472,Home Improvement,30000,15.19,Current
L000846,C004457,Home Improvement,7500,5.31,Current
L000847,C004088,Auto,5000,15.38,Current
L000848,C002586,Home Improvement,2500,5.05,Current
L000849,C004823,Personal,15000,6.41,Current
L000850,C003831,Home Improvement,10000,15.74,Current
L000851,C000292,Auto,30000,16.49,Paid Off
L000852,C001590,Home Improvement,20000,15.48,Current
L000853,C000324,Auto,15000,13.02,Current
L000854,C004157,Personal,5000,18.46,Current
L000855,C004437,Personal,15000,6.89,Current
L000856,C004724,Auto,15000,12.35,Paid Off
L000857,C004290,Personal,20000,7.55,Paid Off
L000858,C002510,Personal,15000,10.27,Paid Off
L000859,C000213,Personal,5000,8.32,Current
L000860,C001687,Auto,7500,11.07,Current
L000861,C001847,Auto,10000,9.45,Paid Off
L000862,C000097,Home Improvement,2500,8.04,Current
L000863,C004189,Home Improvement,15000,6.27,Current
L000864,C001043,Auto,20000,10.09,Current
L000865,C001807,Auto,10000,6.02,Current
L000866,C004960,Personal,5000,15.66,Delinquent
L000867,C000435,Auto,20000,15.99,Current
L000868,C004089,Auto,20000,18.07,Paid Off
L000869,C002190,Personal,7500,17.82,Paid Off
L000870,C003346,Auto,20000,11.82,Delinquent
L000871,C003257,Auto,30000,16.12,Current
L000872,C004378,Home Improvement,15000,11.24,Current
L000873,C002614,Home Improvement,10000,4.01,Current
L000874,C003767,Personal,7500,11.05,Current
L000875,C001866,Auto,30000,7.45,Current
L000876,C004736,Auto,10000,14.11,Current
L000877,C001538,Home Improvement,30000,16.24,Current
L000878,C002734,Personal,10000,11.42,Paid Off
L000879,C001741,Home Improvement,7500,15.88,Current
L000880,C004242,Personal,30000,16.2,Delinquent
L000881,C002325,Home Improvement,15000,6.31,Paid Off
L000882,C003511,Home Improvement,30000,10.91,Current
L000883,C002139,Home Improvement,20000,9.97,Current
L000884,C002578,Home Improvement,10000,11.78,Delinquent
L000885,C000564,Home Improvement,2500,7.87,Current
L000886,C000886,Personal,15000,16.86,Paid Off
L000887,C000370,Auto,7500,12.58,Current
L000888,C003220,Auto,10000,9.92,Current
L000889,C001848,Auto,10000,10.64,Delinquent
L000890,C001727,Auto,15000,18.29,Current
L000891,C002290,Auto,30000,15.65,Current
L000892,C001470,Personal,2500,15.19,Current
L000893,C003973,Home Improvement,7500,12.56,Current
L000894,C000009,Personal,2500,17.0,Paid Off
L000895,C003330,Auto,2500,10.4,Current
L000896,C002458,Auto,10000,13.92,Current
L000897,C003590,Auto,30000,16.7,Current
L000898,C000470,Auto,2500,11.23,Current
L000899,C001643,Home Improvement,5000,7.46,Current
L000900,C003864,Personal,20000,7.93,Current
L000901,C004939,Home Improvement,5000,17.67,Current
L000902,C002286,Auto,10000,10.23,Current
L000903,C004881,Home Improvement,15000,5.97,Current
L000904,C000869,Auto,20000,12.21,Current
L000905,C000449,Auto,5000,5.77,Current
L000906,C001595,Personal,15000,10.17,Paid Off
L000907,C003693,Auto,2500,17.39,Current
L000908,C000497,Auto,5000,15.58,Current
L000909,C004229,Personal,30000,11.01,Current
L000910,C003859,Personal,10000,16.72,Current
L000911,C004664,Home Improvement,20000,14.73,Current
L000912,C003017,Home Improvement,20000,13.17,Current
L000913,C000136,Auto,10000,14.13,Current
L000914,C000802,Home Improvement,7500,11.71,Current
L000915,C000047,Home Improvement,2500,7.01,Current
L000916,C000479,Home Improvement,15000,7.96,Current
L000917,C004780,Home Improvement,5000,10.09,Current
L000918,C000693,Personal,10000,8.81,Current
L000919,C002728,Auto,7500,15.41,Current
L000920,C001104,Auto,2500,15.02,Current
L000921,C002021,Home Improvement,7500,15.04,Paid Off
L000922,C003882,Home Improvement,30000,13.56,Paid Off
L000923,C002207,Personal,5000,17.11,Paid Off
L000924,C000153,Auto,10000,6.5,Paid Off
L000925,C004687,Personal,15000,15.9,Current
L000926,C000459,Personal,15000,14.94,Current
L000927,C000084,Home Improvement,20000,3.63,Current
L000928,C002242,Auto,5000,16.52,Current
L000929,C000483,Personal,7500,13.76,Current
L000930,C002104,Auto,15000,11.04,Current
L000931,C001099,Auto,20000,12.88,Paid Off
L000932,C002278,Auto,30000,8.58,Current
L000933,C001281,Home Improvement,20000,10.03,Current
L000934,C002426,Home Improvement,5000,6.55,Paid Off
L000935,C004905,Personal,15000,12.37,Current
L000936,C002135,Home Improvement,15000,6.53,Paid Off
L000937,C001676,Auto,20000,7.83,Current
L000938,C003934,Personal,20000,14.64,Current
L000939,C000885,Personal,7500,6.41,Current
L000940,C000463,Auto,7500,4.6,Current
L000941,C004813,Personal,30000,17.54,Current
L000942,C000793,Auto,5000,5.34,Current
L000943,C000603,Home Improvement,2500,16.44,Paid Off
L000944,C004417,Auto,5000,16.47,Current
L000945,C003406,Home Improvement,20000,9.29,Current
L000946,C001112,Personal,7500,15.88,Current
L000947,C003433,Auto,2500,12.02,Current
L000948,C004522,Auto,5000,8.41,Current
L000949,C004996,Home Improvement,20000,10.86,Current
L000950,C004422,Auto,5000,13.53,Paid Off
L000951,C003641,Auto,2500,8.4,Current
L000952,C000622,Personal,7500,10.31,Current
L000953,C003441,Personal,20000,8.58,Current
L000954,C000193,Auto,15000,5.53,Paid Off
L000955,C003082,Personal,10000,6.19,Current
L000956,C001187,Personal,5000,16.24,Current
L000957,C000571,Home Improvement,30000,7.26,Current
L000958,C002176,Auto,15000,15.14,Current
L000959,C002920,Auto,30000,4.48,Current
L000960,C003643,Home Improvement,10000,13.19,Current
L000961,C004978,Home Improvement,7500,4.8,Current
L000962,C004249,Auto,10000,6.48,Current
L000963,C003216,Personal,5000,3.98,Paid Off
L000964,C001437,Home Improvement,7500,9.64,Current
L000965,C004638,Home Improvement,7500,6.84,Current
L000966,C003129,Personal,20000,13.76,Paid Off
L000967,C001106,Auto,20000,12.17,Current
L000968,C004982,Personal,5000,4.55,Current
L000969,C002655,Personal,10000,9.72,Current
L000970,C003235,Auto,10000,17.65,Paid Off
L000971,C001430,Personal,2500,12.95,Current
L000972,C000541,Auto,30000,7.68,Current
L000973,C001810,Auto,10000,18.09,Current
L000974,C001373,Auto,5000,16.38,Current
L000975,C001693,Home Improvement,2500,9.91,Current
L000976,C003373,Home Improvement,30000,13.9,Current
L000977,C003648,Home Improvement,20000,17.02,Current
L000978,C001837,Personal,30000,4.65,Delinquent
L000979,C001412,Home Improvement,30000,6.47,Current
L000980,C001275,Personal,15000,10.7,Current
L000981,C000612,Home Improvement,20000,9.62,Current
L000982,C000949,Auto,5000,8.82,Delinquent
L000983,C002507,Personal,5000,5.26,Current
L000984,C001182,Home Improvement,20000,11.62,Current
L000985,C004222,Home Improvement,20000,6.59,Current
L000986,C001513,Personal,5000,9.8,Current
L000987,C002211,Home Improvement,2500,8.66,Current
L000988,C000352,Auto,30000,12.12,Current
L000989,C000730,Home Improvement,10000,4.07,Current
L000990,C004188,Personal,10000,4.93,Paid Off
L000991,C002759,Home Improvement,2500,7.19,Current
L000992,C004434,Home Improvement,7500,4.41,Current
L000993,C000701,Auto,7500,6.84,Current
L000994,C000031,Home Improvement,5000,4.98,Current
L000995,C004538,Home Improvement,5000,3.92,Current
L000996,C004628,Home Improvement,20000,13.35,Paid Off
L000997,C000679,Personal,10000,5.39,Current
L000998,C000516,Personal,15000,11.21,Current
L000999,C003345,Auto,2500,4.8,Paid Off
L001000,C002741,Home Improvement,5000,16.51,Current
L001001,C002948,Home Improvement,2500,3.79,Current
L001002,C004727,Auto,2500,13.6,Current
L001003,C000469,Auto,30000,17.09,Paid Off
L001004,C000341,Home Improvement,10000,18.2,Current
L001005,C003287,Home Improvement,30000,14.37,Paid Off
L001006,C001450,Home Improvement,30000,15.1,Current
L001007,C002388,Auto,7500,6.2,Current
L001008,C002561,Home Improvement,20000,7.53,Paid Off
L001009,C002704,Personal,7500,11.82,Current
L001010,C001729,Auto,10000,6.04,Current
L001011,C004594,Personal,5000,5.43,Current
L001012,C004635,Personal,20000,6.84,Current
L001013,C001499,Auto,10000,3.57,Current
L001014,C000826,Personal,30000,17.83,Current
L001015,C002102,Home Improvement,10000,18.13,Current
L001016,C000602,Auto,5000,8.67,Current
L001017,C001325,Personal,2500,3.67,Current
L001018,C000566,Home Improvement,2500,14.86,Current
L001019,C002140,Home Improvement,15000,7.34,Paid Off
L001020,C002035,Auto,2500,13.33,Current
L001021,C001917,Personal,30000,11.79,Current
L001022,C002485,Auto,2500,15.78,Delinquent
L001023,C002661,Home Improvement,15000,11.81,Current
L001024,C001965,Home Improvement,30000,5.27,Paid Off
L001025,C003455,Personal,7500,10.35,Current
L001026,C001649,Personal,10000,6.75,Paid Off
L001027,C001134,Personal,10000,8.0,Current
L001028,C000033,Auto,2500,10.58,Current
L001029,C001597,Home Improvement,2500,11.73,Current
L001030,C003940,Personal,7500,6.65,Current
L001031,C003872,Home Improvement,10000,10.73,Current
L001032,C003836,Personal,2500,7.57,Paid Off
L001033,C004807,Auto,10000,10.93,Current
L001034,C003943,Home Improvement,20000,14.62,Current
L001035,C003506,Auto,5000,14.32,Current
L001036,C000490,Home Improvement,7500,10.77,Current
L001037,C002955,Auto,30000,7.25,Current
L001038,C004403,Personal,20000,17.57,Current
L001039,C003313,Home Improvement,5000,10.74,Current
L001040,C003270,Auto,7500,14.21,Current
L001041,C000432,Personal,2500,11.45,Paid Off
L001042,C003293,Home Improvement,2500,9.5,Paid Off
L001043,C003371,Auto,30000,3.63,Current
L001044,C004332,Personal,7500,17.36,Current
L001045,C003494,Auto,10000,10.11,Current
L001046,C000115,Home Improvement,20000,14.85,Current
L001047,C000728,Personal,15000,8.81,Current
L001048,C001535,Home Improvement,2500,16.36,Current
L001049,C002615,Home Improvement,7500,5.76,Paid Off
L001050,C003733,Home Improvement,2500,15.36,Delinquent
L001051,C003839,Personal,10000,7.22,Current
L001052,C002289,Personal,5000,10.23,Delinquent
L001053,C000974,Home Improvement,20000,9.19,Paid Off
L001054,C002280,Home Improvement,5000,6.68,Current
L001055,C000415,Personal,30000,10.18,Current
L001056,C004661,Auto,15000,9.29,Current
L001057,C004845,Personal,5000,17.65,Current
L001058,C001473,Auto,20000,8.0,Current
L001059,C001773,Home Improvement,7500,17.8,Paid Off
L001060,C000527,Personal,15000,14.59,Current
L001061,C000058,Auto,5000,13.4,Paid Off
L001062,C000492,Auto,5000,4.14,Current
L001063,C004396,Auto,2500,18.45,Current
L001064,C004910,Auto,10000,4.08,Current
L001065,C004295,Auto,15000,14.24,Current
L001066,C000683,Auto,30000,16.2,Paid Off
L001067,C004673,Home Improvement,7500,3.58,Current
L001068,C000847,Home Improvement,30000,14.38,Current
L001069,C001695,Home Improvement,2500,10.35,Current
L001070,C004116,Home Improvement,30000,8.79,Current
L001071,C001221,Home Improvement,2500,16.98,Current
L001072,C001389,Auto,5000,5.94,Current
L001073,C002965,Home Improvement,20000,11.55,Current
L001074,C000568,Home Improvement,10000,10.13,Paid Off
L001075,C003786,Home Improvement,5000,15.78,Delinquent
L001076,C001838,Home Improvement,10000,10.38,Current
L001077,C003105,Personal,5000,8.02,Current
L001078,C004400,Auto,20000,11.39,Paid Off
L001079,C001312,Personal,5000,3.56,Current
L001080,C002508,Home Improvement,10000,11.11,Current
L001081,C001911,Personal,15000,5.57,Current
L001082,C003790,Auto,10000,14.9,Current
L001083,C000032,Auto,15000,17.8,Current
L001084,C001454,Home Improvement,5000,14.39,Current
L001085,C001157,Auto,30000,4.74,Current
L001086,C004838,Personal,2500,7.9,Current
L001087,C004415,Personal,2500,6.02,Current
L001088,C003523,Personal,7500,9.62,Current
L001089,C002138,Home Improvement,2500,16.29,Current
L001090,C004185,Home Improvement,7500,5.99,Paid Off
L001091,C002439,Auto,2500,12.96,Current
L001092,C000581,Personal,20000,5.82,Current
L001093,C000678,Personal,10000,6.14,Current
L001094,C000217,Personal,10000,11.19,Current
L001095,C003114,Personal,10000,12.64,Current
L001096,C001175,Personal,7500,3.6,Current
L001097,C000676,Home Improvement,7500,7.72,Current
L001098,C003380,Home Improvement,10000,8.38,Current
L001099,C003544,Personal,5000,4.56,Current
L001100,C000860,Home Improvement,10000,6.41,Current
L001101,C000607,Auto,10000,18.14,Current
L001102,C003028,Auto,15000,15.38,Current
L001103,C003740,Personal,5000,16.96,Current
L001104,C002820,Home Improvement,15000,4.49,Current
L001105,C002628,Personal,20000,12.26,Current
L001106,C001575,Home Improvement,20000,12.41,Current
L001107,C002659,Personal,20000,10.14,Paid Off
L001108,C004977,Auto,20000,11.79,Current
L001109,C001975,Personal,15000,17.23,Current
L001110,C000703,Auto,10000,12.02,Paid Off
L001111,C001113,Personal,5000,3.82,Current
L001112,C002926,Auto,20000,3.57,Current
L001113,C001376,Personal,10000,12.21,Current
L001114,C003500,Auto,2500,17.34,Current
L001115,C002928,Home Improvement,2500,15.15,Delinquent
L001116,C004510,Home Improvement,7500,7.21,Current
L001117,C002738,Home Improvement,2500,4.84,Delinquent
L001118,C001737,Auto,2500,11.48,Paid Off
L001119,C003186,Home Improvement,10000,6.2,Paid Off
L001120,C003438,Auto,10000,16.27,Current
L001121,C003546,Home Improvement,15000,7.15,Paid Off
L001122,C004562,Home Improvement,10000,15.53,Current
L001123,C003226,Home Improvement,20000,5.71,Paid Off
L001124,C004560,Auto,2500,10.54,Delinquent
L001125,C001172,Personal,20000,16.9,Current
L001126,C002876,Personal,15000,12.49,Current
L001127,C004387,Auto,20000,12.66,Current
L001128,C002634,Home Improvement,7500,18.4,Current
L001129,C000248,Home Improvement,10000,14.44,Current
L001130,C000714,Home Improvement,5000,14.51,Current
L001131,C003402,Auto,5000,3.91,Current
L001132,C000035,Personal,15000,13.24,Current
L001133,C001586,Auto,15000,4.28,Paid Off
L001134,C001835,Personal,5000,8.25,Current
L001135,C001709,Auto,2500,17.78,Current
L001136,C004544,Auto,2500,9.49,Current
L001137,C002107,Personal,30000,17.14,Current
L001138,C001506,Home Improvement,7500,5.04,Current
L001139,C004147,Personal,15000,4.01,Current
L001140,C003496,Auto,20000,12.79,Current
L001141,C002308,Personal,10000,14.96,Current
L001142,C004469,Personal,15000,8.65,Paid Off
L001143,C003629,Home Improvement,10000,15.86,Current
L001144,C002231,Auto,5000,10.02,Current
L001145,C000377,Home Improvement,10000,17.84,Current
L001146,C004863,Auto,20000,7.63,Current
L001147,C004077,Auto,30000,8.03,Current
L001148,C002792,Personal,30000,13.86,Current
L001149,C002830,Auto,5000,11.63,Current
L001150,C001199,Home Improvement,2500,12.81,Current
L001151,C003354,Home Improvement,20000,4.11,Paid Off
L001152,C000809,Auto,2500,12.55,Current
L001153,C003089,Home Improvement,2500,18.38,Paid Off
L001154,C001644,Personal,20000,4.9,Current
L001155,C000546,Auto,30000,16.48,Current
L001156,C001018,Auto,30000,18.14,Current
L001157,C003851,Auto,10000,18.05,Paid Off
L001158,C000284,Auto,2500,17.61,Current
L001159,C001369,Auto,5000,9.99,Paid Off
L001160,C001391,Auto,2500,11.42,Paid Off
L001161,C004523,Auto,10000,7.9,Paid Off
L001162,C000989,Home Improvement,30000,7.09,Current
L001163,C000657,Auto,7500,5.99,Current
L001164,C004240,Personal,10000,14.62,Paid Off
L001165,C000530,Home Improvement,20000,4.22,Current
L001166,C000755,Home Improvement,2500,16.12,Current
L001167,C002822,Auto,10000,11.07,Current
L001168,C004629,Home Improvement,20000,7.41,Current
L001169,C002977,Personal,10000,17.54,Current
L001170,C001005,Home Improvement,30000,16.06,Current
L001171,C002845,Home Improvement,2500,11.67,Current
L001172,C004537,Auto,10000,18.42,Current
L001173,C004297,Personal,5000,14.95,Current
L001174,C004352,Home Improvement,2500,6.2,Current
L001175,C000125,Home Improvement,7500,6.07,Current
L001176,C003845,Personal,7500,7.24,Paid Off
L001177,C001653,Personal,7500,7.74,Current
L001178,C003069,Auto,5000,5.98,Current
